Malay Comments,Google Translate,Bing Translate
"melalui agoda saya membuat tempahan dan bila berada disana bilik telah tersedia. Selepas berehat sebentar,kami ketaman tema bersebelahan hotel dan berada di situ sehingga taman mau tutup. dan untuk sarapan pun mudah hanya di kawasan lobi. Masa untuk check out juga mudah dan cepat. Kami masih lssambnrada di kedua-dua taman tema Genting hingga ke petang. Percutian pendek ini tetap seronok apabila tiada masalah dari hal menginapan dan kawasan persekitaran percutian yang baik","I made a booking through Agoda, and when there are rooms available. After a short rest, we ketaman hotel adjacent theme and stay on until the park would be closed. and for breakfast too easy only in the lobby area. Time to check out is easy and quick. We still lssambnrada on both Genting theme park to evening. These short-stay holiday fun when there is no problem in the case of menginapan and surrounding areas a good holiday","through it's easy I made a reservation and when are there rooms were available. After a break for a bit, we ketaman the theme next to the hotel and be there until the garden want to close. and for breakfast is simple only in the lobby area. Time to check out is also easy and fast. We are still lssambnrada both Genting theme park until the evening. A short break is still fun when there are no problems from it menginapan and the surrounding area a good vacation"
"KAMI MENYUKAI PENGINAPAN KAMI KERANA ANDA SANGAT BERBALOI DENGAN NILAI KOS PENGINAPAN.HOTEL ANDA AMAT DEKAT DENGAN TAMAN DAN JUGA OUTDOOR THEME PARK.SERVICE KAUNTER DAN HOUSEKEEPING JUGA BAIK DAN MESRA.SIARAN TV JUGA JELAS,BILIK AIR SANGAT BERSIH.KAMI SANGAT BERPUAS HATI,DAN PASTI AKAN DATANG LAGI.TERIMA KASIH UNTUK STAFF YG RAMAH.SEMOGA ANDA DAPAT KEKALKAN PRESTASI ANDA.TERIMA KASIH","ACCOMMODATION WE LIKE OUR WORTH SEEING YOU AT THE COST OF YOUR PENGINAPAN.HOTEL VERY NEAR THE THEME PARKS AND ALSO OUTDOOR PARK.SERVICE COUNTER AND ALSO GOOD HOUSEKEEPING AND ALSO CLEAR MESRA.SIARAN TV, BERSIH.KAMI BATHROOM VERY VERY SATISFIED, AND WILL YOU COME TO STAFF YG LAGI.TERIMA RAMAH.SEMOGA YOU CAN KEEP YOU PERFORMANCE ANDA.TERIMA","ACCOMMODATION WE LIKE OUR WORTH SEEING YOU AT THE COST OF YOUR PENGINAPAN.HOTEL VERY NEAR THE THEME PARKS AND ALSO OUTDOOR PARK.SERVICE COUNTER AND ALSO GOOD HOUSEKEEPING AND ALSO CLEAR MESRA.SIARAN TV, BERSIH.KAMI BATHROOM VERY VERY SATISFIED, AND WILL YOU COME TO STAFF YG LAGI.TERIMA RAMAH.SEMOGA YOU CAN KEEP YOU PERFORMANCE ANDA.TERIMA"
Bilik yang sangat luas dengan katil yang besar.berdekatan dengan taman permainan.cuaca yang sejuk beserta bilik mandi yang luas.anak-anak sangat gembira masuk ke dalam bilik.keluarga sangat gembira dapat berjalan kesini dengan bilik yang amat berpuas hati.,A very spacious room with a bed in the garden besar.berdekatan cool permainan.cuaca ensuite bathroom luas.anak very happy children into the bilik.keluarga very happy to walk in here with a room very satisfied.,Very spacious rooms with large beds. close to the playground. cold weather along with a spacious bathroom. kids very happy into the family very happy rooms. run kesini with extremely satisfied.
Sungguh selesa. Ruang bilik yang cukup luas dan sangat bersih. Pemandangan di Genting sungguh indah dari tingkat 10. ,It's comfortable. Living rooms are quite spacious and very clean. Genting View from the 10th floor was beautiful.,So comfortable. Room space spacious enough and very clean. Genting was so beautiful views from the 10th floor.
"hotel ini merupakan hotel yang terbaik bagi saya setakat ini.memenuhi kehendak dan jiwa saya selama ini.bersebelahan dengan taman tema outdoor.cukup mengkagumkan.tetapi saya berharap semoga television dilengkapi dengan siaran astro seperti sukan, movie dan kartun.ini kerana saya tidak dapat langsung menonton television kerana tiada siaran.saya juga berharap semoga harga bayaran bilik dikurangkan dibawah rm150. selain itu saya berharap pihak hotel dapat menyediakan sarapan pagi sebagai penghormatan pada pengunjung hotel. semoga theme park hotel terus maju di masa depan dengan perkhidmatan yang cemerlang.","This hotel is the best hotel for me so far and my soul ini.memenuhi requirements for ini.bersebelahan theme parks outdoor.cukup mengkagumkan.tetapi I hope that television is equipped with astro posts like sports, movie and kartun.ini because I could not live watch television because there is no hope siaran.saya also reduced the price of room charges under rm150. other than that I hope the hotel can prepare breakfast in honor of the hotel visitors. theme park hotel may move forward in the future with excellent service.","This hotel is the best for me so far. meet the requirements and my soul all this time. next to the outdoor theme park is pretty awesome but ... I wish television equipped with astro as sports, movie and cartoon because I can't directly watch television because there are no broadcast. I also wish the price costs the room reduced below rm150. other than that I hope the hotel can provide breakfast as a tribute to the visitors. may theme park hotel continue to grow in the future with an excellent service."
"Saya tidak tahan sejuk terutama waktu malam dan awal pagi.Tapi amat menyukai Lokasi Hotel yang terletak di dalam bangunan Taman Tema Genting.kaunter tiket untuk ke taman tema cuma terletak dihadapan pintu masuk ke hotel ini.Ruang Lobi yang selesa.Mudah untuk makan dan membeli keperluan am seperti Kad Topup Handphone.
","I can not stand the cold, especially at night and early pagi.Tapi loves Location located in the building Genting.kaunter Theme Park tickets to the theme park is located just before the entrance to the hotel lobby ini.Ruang selesa.Mudah to eat and buy general requirements such as Handphone Topup Card. ","""I do not hold the cold especially at night and early morning.But very like location of the Hotel which is located in the building of the Genting theme park ticket counter to the theme park is located in front of the entrance to the hotel.The lobby area.Easy to eat and buy General requirements such as Card Oxicash Chassis."
"Sangat memuaskan, walaupun bangunan hotel lama tetapi rekabentuk dalaman moden membuatkan anda selesa. Kakitangan yang ramah dan cukup membantu, lokasi yang dekat dengan urusan pejabat/ bisnes, berdekatan dengan pusat makanan tempatan.","Very satisfactory, although the old hotel building but modern interior design makes you comfortable. The staff are friendly and quite helpful, the location is close to the business office / business, near the center of local food.","Very satisfactory, although the old hotel building but modern interior design make you comfortable. Friendly staff and very helpful, the location close to the business office/business, away from the nearest local food."
perfect..ruang bilik dan cafe yang cukup menarik minat saya..berdekatan shopping complex dan restaurant...public transport juga mudah didapati,perfect .. living room and cafe enough interest me .. nearby shopping complex and restaurant ... public transport is also readily available,perfect ...space booths and cafe which is quite interest me. ..adjacent shopping complex and restaurant ... public transport is also easily found
"bilik yang baru dan bersih, lokasi di pusat bandar iaitu berdekatan dengan tempat shopping the store, dan ipoh parade, ia juga berdekatan dengan tempat tempat makan seperti wong chicken rice dan sprout dan kedai kopi di oldtown ipoh. tempat parking kereta yang ada jagaan securiti guard tetapi ia terletak di luar hotel. layanan staff yang mesra.","rooms are new and clean, the location in the city center near shopping the store, and ipoh parade, it is also close to dining places as wong chicken rice and sprouts and a coffee shop in Oldtown ipoh. where there car parking charge, but it is the Security guard outside. friendly staff service.","the room is new and clean, location in the city centre, close to place shopping the store, and ipoh parade, it is also close to the place like wong chicken rice and bean and coffee shops in oldtown. free thumbs have custody of securiti guard but it is outside the hotel. the friendly staff service."
"Kedudukan strategik untuk kemana2. Untuk menjamu selera, berjalan di pasar karat hanya di sebelah hotel sahaja","Strategic position to kemana2. For dining, walk only on the steel market hotels only","Strategic position for kemana2. To accommodate the tastes of the market, running in rust is just next to the hotel only"
perkhidmatan agak baik dan saya berpuas hati dengan pangangkutan pergi balik lapangan terbang,service is quite good and I am satisfied with the carriage of the airport shuttle,the service is quite good and I am satisfied with the pangangkutan go airport shuttle
"penginapan yang sangat memuaskan. Apa yang terbaik adalah lokasinya di tepi pantai serta di laluan di mana pengangkutan awam mudah diperolehi. Terdapat banyak restoren , kedai cenderamata, kiosk dan cenang mall berdekatan. amat disyorkan untuk percutian sendirian, pasangan atau keluarga atau kumpulan.","very satisfying stay. What's best is its location on the beach and in the way in which public transport is easily available. There are many restaurants, souvenir shops, kiosks and mall nearby Cenang. highly recommended for vacation alone, couple or family or group.","very satisfactory. What is best is its location on the beach and in the path where public transport is easily available. There are plenty of restaurants, souvenir shops, kiosks and cenang mall nearby. highly recommended for travelers alone, couples or family or group."
"memang cantik permandangan beach dekat depan bilik,bilik selesa,ada bath tab.. kalau yang nak honeymoon memang sesuai..dekat dengan shopping complex boleh jalan kaki saja ke underwaterworld.makanan breakfast tak sedap tapi layanan baik.. berdekatan dengan kedai makan.. jalan kaki je..","really beautiful scenery near the beach front rooms, comfortable rooms, no bath tub .. if it suits those who want to honeymoon near the shopping complex .. can walk alone to underwaterworld.makanan yummy breakfast but service not good .. close to eateries .. walk je ..","It's pretty nice beach near the front of the room, the room comfortable, there's a bath tab.. If Telkom honeymoon renders ...close to shopping complex can be walking alone to the underwaterworld. food breakfast is tasty but good service ... close to restaurants ... walking je ..."
"Tempat strategik dan sangat memudahkan kami bersiar-siar, menikmati keindahan Langkawi. Suasana bilik yang romantik dan simple untuk pasangan berbulan madu.","Strategic and very easy for us to walk, enjoy the beauty of Langkawi. The atmosphere is romantic and simple rooms for honeymoon couples.","Strategic locations and extremely convenient we take a walk, enjoy the beauty of Langkawi. Romantic room atmosphere and simple to couple honeymooners."
"Kedudukan hotel yang strategik untuk mereka yang gemarkan penginapan di tepi pantai. Hotel yang sederhana dengan kadar yang amat berpatutan. Terdapat banyak restoren dan gerai makan di sekitar hotel yang boleh dikunjungi dengan hanya berjalan kaki. Hotel juga berdekatan dengan Underwater World Langkawi. Walau bagaimanapun, di bahagian lobi hotel agak sempit, di mana kereta tidak boleh masuk di kawasan yang teduh, menjadikan sedikit masalah apabila kami sampai ketika hujan lebat dan terpaksa meredah hujan dengan beg-beg kami","The hotel's strategic position for those who prefer a stay at the seaside. Simple hotel with very reasonable rates. There are many restaurants and food stalls around the hotel which can be reached only on foot. The hotel is also close to Underwater World Langkawi. However, in the lobby of the hotel is quite narrow, where cars can not get in the shade, a bit of a problem when we get heavy rain and the rain had with our bags","The hotel's strategic position for those who prefer to stay by the beach. Simple Hotel with a very reasonable rate. There are plenty of restaurants and food stalls around the hotel which can be reached only on foot. Hotels are also close to Underwater World Langkawi. However, in the hotel lobby is quite narrow, where cars cannot enter in a shaded area, making a bit of a problem when we got when heavy rain and had to traverse through the rain with our bags"
"Amat selesa, nyaman, pemandangan yang menarik, tempat makan banyak pilihan dan amat dekat dengan hotel.","Extremely comfortable, cozy, attractive views, dining options and is close to the hotel.","Very comfortable, convenient, attractive views, packed a lot of choice and very close to the hotel."
"Hotel ini hanya bertaraf 2 bintang. Sesuai utk pelancong yang bajet sederhana dan suka menghirup udara pantai kerana lokasi betul-betul di hadapan Pantai Cenang. Hidangan sarapan sangat simple dan kurang sedap sekadar isi perut sahaja. Senang untuk mendapatkan pakej ""island hoping"" di lobi hotel dan hiburan di waktu malam. Terdapat deretan kedai- kedai untuk pelancong membeli belah dan kedai makanan halal untuk pelancong muslim.","It is a 2-star. Suitable for medium budget travelers who prefer the beach to breathe the air because of its location right in front of Pantai Cenang. Serving breakfast is very simple and less tasty entrails only just. Glad to get the package ""island hoping"" in the hotel lobby and entertainment at night. There is a row of shops for tourists shopping and halal outlets for Muslim travelers.","The Hotel is a 2-star. Suitable for budget travelers and like SIP conditioning the coast as location right in front of Pantai Cenang. Breakfast very simple and less tasty than simply fill the stomach only. Love to get package ""island hoping"" in the hotel lobby and entertainment during the night. There is a row of stores for shopping and food outlets are halal for Muslims."
