Malay Comments,Google Translate,Bing Translate
"perkhidmatan yang tidak sepatutnya dari awal check in hingga check out. layanan tidak memuaskan, persekitaran dalam dan luar hotel tidak sesuai untuk merehatkan minda.staff yang tidak kemas, (staff front desk tidak memakai kasut atau selipar), air cond dan water heater tidak berfungsi,harga tiket mahal ke cowboy town tapi tidak berbaloi ","services should not be from the early check in to check out. unsatisfactory service, the environment within and outside the hotel is not suitable for a relaxing minda.staff messy, (front desk staff did not wear shoes or sandals), water conditioner and water heater does not work, expensive tickets to cowboy town but not worth it","the service should not be from early check in to check out. unsatisfactory service, environment in and outside the hotel is not suitable for relaxing the mind. the staff is not very (good stops not wear shoes or slippers), water conditioner and water heater does not work, ticket price expensive to cowboy town but not worth it"
Air cond tidak berfungsi dengan baik untuk 2 bilik tidur.flush tandas tidak boleh digunakan.paip sinki bocor.,Air conditioner did not work well for 2 rooms tidur.flush digunakan.paip toilet can not sink leaking.,Air conditioner does not work properly for 2 bedroom. flush toilets unusable. a sink pipe leaking.
" Pekerja yang mesra, cuma keadaan sekeliling yang sunyi, lobby condo jugak tidak menarik, suram, tidak ada apa yang menarik","Employees are friendly, but quiet surroundings, lobby condo jugak unattractive, gloomy, nothing exciting","Friendly staff, quiet surrounding, the lobby condo also uninteresting, dull, nothing interesting"
tiada masalah cuma maklumat parking disediakan hotel ini tidak diketahui dengan jelas lokasinya agak tersorok,no parking problems only information available at this hotel is not clearly known relatively secluded location,no problem just information parking available this hotel is not known clearly the location fro
"Kali ini agak mengecewakan , pintu bilik rosak dan maintenance tidak beritahu bahawa pintu tidak boleh dibuka dari dalam...bayangkan jika ada kebakaran, bagaimana saya nak keluar bilik yang terkunci...sepatutnya saya ditukarkan bilik... amat membahayakan
","This is quite disappointing, door damaged and maintenance not tell that the door can not be opened from the inside ... imagine if there was a fire, how can I get out of the locked room ... I should have changed rooms ... very dangerous 
","This is quite a disappointment, room door damaged and maintenance do not tell that the door cannot be opened from within ... imagine if there is a fire, how do I exit the room locked ... should I changed ... very dangerous"
"saya menjangkakan hotel ini selesa selain cantik. bagaimanapun, saya sedikit kecewa kerana bilik hotel ini terlalu kecil. bagi saya, hotel ini hanya setaraf hotel bajet seperti tune hotel. tidak memadai dengan wang yang saya belanjakan dan sudah pasti saya tidak akan menginap disini lagi.
","I expect this hotel apart pretty comfortable. however, I was a bit disappointed that the hotel room is too small. for me, it is just equivalent budget hotels like this tune. inadequate money I spend and I certainly would not stay here again . 
","""I was expecting this hotel comfortable as well as beautiful. However, I am a little disappointed because this hotel rooms too small. for me, this hotel is only equivalent budget hotels such as tune hotels. inadequate money I spend and definitely I will not stay here again."
"penginapan yang biasa, bilik yang kecil tetapi selesa. Hotel ini menyediakan sarapan pagi tetapi agak mengecewakan hanya roti dan bihun kosong yang disediakan.","normal accommodation, the room is small but comfortable. The hotel provides breakfast but a bit disappointing just plain bread and noodles available.","a common, small but comfortable rooms. The Hotel provides breakfast but a bit disappointing just plain bread and bihun."
Tiada parking tiada telefon Lif hotel rosak pekerja hotel kurang mesra,No parking no lift this phone faulty less friendly hotel workers,There are no parking no phone Elevator staff damaged hotel smell
"Bilik selesa dan bersih namun agak kecil jika dibandingkan dengan harga yang dibayar.Staff kaunter pertanyaan hotel bagus dan mesra.Namun tiada wifi 
percuma disedakan. Pelanggan perlu membayar untuk menggunakan wifi.Lokasi betul-betul di tempat membeli-belah,berdekatan Mydin dan Jalan TAR.","Booths Selesa and clean but rather small when compared with the price of a nice hotel dibayar.Staff kaunter questions and no wifi mesra.Namun disedakan useless. Customers need to pay to use wifi.Lokasi really where buy-sides, adjacent Mydin and Roads TAR.","""Comfortable and clean but quite small compared to the price paid.Nice hotel enquiry counter Staff and friendly.But there are no free wifi disedakan. Customer is required to pay to use the wifi.Location right in the shopping, Mydin and Jalan TAR. """
Ok.Bilik selesa hanya kurang berpuas hati dengan sarapan pagi.Agak bersepah dan makanan tak byk,Ok.Bilik comfortable just not satisfied with the breakfast pagi.Agak uncluttered and not much food,"Ok., comfortable rooms are less than satisfied with the breakfast.Quite the scattered wires and food not much"
"Pengalaman pertama menginap di Hyatt KK tidak begitu 
memberangsangkan,pekerja di depan pintu masuk tidak begitu mesra apabila saya bertanyakan tempat letak kereta. Apabila check in bilik tidak tersedia,sungguhpun saya check in lambat, bilik sepatutnya telah tersedia kerana bayaran telah dijelaskan.Kami sekeluarga terpaksa menunggu lebih dari setengah jam untuk pihak hotel menyediakan bilik yang saya tempah. (mungkin bilik spare/under maintenance sebab pili air di dalam tandas pun bocor, meja tidak begitu bersih) Tempat letak kereta sangat terhad.","The first experience staying at the Hyatt KK is not so 
encouraging workers in front of the entrance is not very friendly when I inquired parking. When checking in the room is not available, even though I checked in late, the room should have been available for payment dijelaskan.Kami family had to wait more than half an hour to the hotel providing book my room. (maybe a spare room / maintenance under the tap because the water in the toilet was leaking, the table is not so clean) parking is very limited. ","""The first Experience staying at the Hyatt KK is not so promising, employees in front of the entrance is not so friendly when I ask a car park. When the check in the room is not available, although I check in late, the room should have been unavailable because payment has been settled.We had had to wait more than half an hour to the hotel provides I book. (possibly spare room/under maintenance for water taps in the toilets been leaked, not so clean) Parking very limited. """
"bilik sempit. servis kurang bagus. waktu saya dan keluarga sampai bilik saya tidak disediakan tuala. terpaksa request untuk tuala yang sepatunya perkara 
basic yang pihak hotel perlu sediakan. kebersihan amat tidak memuaskan. cadar selimut bantal berbau.",cramped cubicle. less good service. took me and my family up booths is not provided towel. forced to request for a towel that shoes basic case that the hotel needs to provide. hygiene is not very satisfactory. veil blankets pillows smelled.,"""narrow rooms. Service good. my time and family until my room is not provided towels. had to request to sepatunya towel thing basic as the hotel had to provide. cleanliness is very unsatisfactory. sheets blankets pillows smelled. """
"menyeramkan. dengan gangguan di tengah malam sehingga ke siang hari. bunyi perabot diseret ke lantai. walhal rumah di atas tiada penghuni. tiada kemudahan 
seperti tuala dan toiletories. tempat letak kereta yang sangat sempit serta sesak sehingga pengunjung terpaksa meletakkan kereta berlapis. saya tidak akan sarankan kawan-kawan saya ke sini. apt tidak bersih seperti tiada regular cleaning. berhabuk. kelebihannya adalah harganya murah berbanding tempat lain",creepy. disorders at midnight until daylight. sounds of furniture being dragged to the floor. although deserted house above. lack of facilities such as towels and toiletories. parking lots are very narrow and crowded so visitors had to put the car glazed. I will recommend my friends here. apt not clean as there is no regular cleaning. dusty. advantages are the low price compared to other places ,"""spooky. with interruption in the middle of the night until to day. the sound of furniture dragged to the floor. yet House on there are no residents. There are no amenities such as towels and toiletories. car park is very narrow and congested so visitors had to park your car Windows. I would not recommend my friends here. apt not clean like no care with cleaning. too costly. its advantages are the price is cheap compared to other places """
sangat tidak memuaskan..staff sangat kurang ajar..bilik yang tidak selesa...walaupun lebih baik tambah duit lebih sikit sewa tempat lain ,very poor .. very rude staff .. rooms are not comfortable ... even better add a little bit more money elsewhere rentals,"very unsatisfactory ...staff very rude ...the rooms are not comfortable ... even better add a little bit more money, rent somewhere else"
"Kualiti bilik lemah, air berkarat - perlu buka paip selama 15-20 minit sebelum air cerah semula, tidak banyak lampu di luar pada waktu malam - ada lampu terbakar. Kabinet pecah, pintu almari baju hamper runtuh.","Poor room quality, rusty water - have to turn the tap on for 15-20 minutes before water is bright again, not many lights off at night - no lights burning. Cabinet burst, collapse hampers closet door.","The quality of the room, rusty water-need to open the tap for 15-20 minutes before bright water again, not much light outside at night-there's a burning lamp. Broken Cabinet, closet door clothes hamper collapsed."
"Katil yang di gunakan adalah rak katil. Sakit badan apabila tidur di atasnya
",Beds are in use is a bed rack. Sore body when sleeping on it,A Bed in use are the shelves of the bed. The body's pain when sleeping on it
Tidak menyenangkan. Kotor dan bau yang kurang enak,Not fun. Dirty and unpleasant odors,Not fun. Dirty and smell the less tasty
hawa dingin tidak berfungsi dengan baik...sungguh mengecewakan...cadar terlalu buruk dan tidak selesa...,Air-conditioning does not work well ... very disappointing ... too bad sheets and uncomfortable ...,air conditioning did not work properly ... so frustrating ... sheets too bad and uncomfortable ...
"access card parking tidak boleh guna, kena turun naik office untuk keluar park. apartment sekadar boleh tidur sahaja, dekat bawah blok,time balik pukul 12 ada hooker menunggu untuk extra service.","parking access card is not in use, due to fluctuations in the office to get out of park. apartment just to sleep alone, close down the block, some time back at 12 hooker waiting for the extra service.","access card parking cannot use, be fluctuations in office to leave park. apartment just can sleep alone, near the bottom of the block, time back by 12 there is a hooker waiting for extra service."
Bilik dan dapur yang sangat teruk..berbau busuk. langsung tidak dijaga..harga tidak berbaloi..tidak digalakkan untuk tinggal disini..,Cubicles and kitchens are very excessive .. stink. not directly maintained .. the price is not berbaloi .. not encouraged to stay here ..,The room and the kitchen are very badly ...stinks. never taken care of ...the price is not worth it ...not recommended to stay here ...
Perlu disediakan kawasan letak kereta secukupnya utk kemudahan pengunjung.,Necessary to provide sufficient area train layout For visitor convenience.,Need parking area enough for visitors.
segalanya OK kecuali ada tikus kecil di dalam bilik,everything is ok except there is a small rat in the chamber,everything OK except some small rats in the room
"Bilik kecil dan selimut yang nipis...ada banyak nyamuk.Di dalam bilik tidak boleh merokok dan denda rm5 untuk merokok ini tidak diberitahu ketika check-in. 
Layanan pekerja bagus tapi lalai krn minta buat wake-up call tak buat. Tgh malam agak sukar nak cari kedai minum sbb kedai tutup awal",Small room and a light blanket ... there's a lot of room nyamuk.Di not smoke and fined RM5 for smoking is not notified when check-in. Services are nice but the default krn workers ask for a wake-up call is not made. TGH night want to find a little difficult to drink shop closed shop early intrauterine ,"""Small and thin blankets ... There are many mosquitoes.In the room should not be smoking and fine rm5 to smoke is not notified when check-in. employees Service good but default krn was last requested wake-up call is made. Midnight is quite difficult to find drinking sbb shop closes early """
